listing_id,room_type,latitude,longitude,host_type,host_id,host_name,,
1.01E+18,Private room,40.86595,-73.88989,co,438634584,Latif,,
5.72E+17,Private room,40.6829,-73.91235,co,339848823,Nyc,,
31836311,Private room,40.74018,-73.87571,primary,19303369,Hiroki,,
8.95E+17,Private room,40.75493652,-73.98304502,primary,496944100,RoomPicks,,
47181609,Private room,40.67576,-73.9464,co,61478941,Taylor,,
37216159,Private room,40.75792,-73.92852,co,32167398,Meela,,
6.47E+17,Private room,40.69067,-73.86953,co,406807982,Tiffany,,
39869406,Private room,40.68798,-73.9551,co,222236294,Kieu&Jimmy,,
8.03E+17,Private room,40.70389955,-73.89755208,primary,305240193,June,,
49074929,Entire home/apt,40.74637,-73.98684,primary,348619646,Nomad,,
9.90E+17,Private room,40.76379,-73.82584,co,502685591,Usquire,,
51510216,Private room,40.64165,-73.97976,co,14898658,Chadanut,,
36922223,Private room,40.73994,-73.8934,co,227070045,Sachiko,,
25871304,Private room,40.81091,-73.9416,co,340102104,Kayo,,
8.95E+17,Private room,40.71038365,-74.01477444,primary,215565541,LuxUrban,,
48345447,Private room,40.75487,-73.99374,primary,38592279,Vk,,
38956986,Hotel room,40.74953,-73.97849,primary,268613328,The Shelburne Sonesta,,
6.69E+17,Entire home/apt,40.7920348,-73.9662095,primary,170568130,Ignacio,,
6.85E+17,Private room,40.6914,-73.90543,co,339848823,Nyc,,
47181377,Private room,40.67619,-73.94616,co,61478941,Taylor,,
47831832,Private room,40.6678,-73.94053,co,107040079,Jonathon,,
7.67E+17,Private room,40.75113,-73.97821,primary,174792040,RoomPicks By Victoria,,
8.45E+17,Private room,40.8366795,-73.8342102,co,501878152,Nancy,,
7.26E+17,Private room,40.74898,-73.9869,primary,25138314,RoomPicks By Antony,,
8.47E+17,Private room,40.85450145,-73.9263769,primary,200239515,Shogo,,
48011499,Private room,40.74484,-73.89155,primary,200239515,Shogo,,
7.25E+17,Private room,40.74963,-73.9813,primary,219517861,Sonder (NYC),,
50403442,Private room,40.6914,-73.93302,co,152505959,Damien,,
1.03E+18,Private room,40.75462226,-73.9801231,primary,484277630,Bugra Han,,
38295943,Private room,40.74993,-73.8783,co,340102104,Kayo,,
34810330,Private room,40.74611,-73.89835,primary,19303369,Hiroki,,
28986683,Private room,40.76845,-73.9224,co,227070045,Sachiko,,
9.03E+17,Entire home/apt,40.754659,-73.9721295,primary,107434423,Blueground,,
6.64E+17,Private room,40.86134,-73.90067,co,419052826,Casimar,,
8.86E+17,Private room,40.57895,-73.98317,co,513656219,Agnes,,
7.59E+17,Private room,40.69583,-73.93471,primary,3223938,Eugene,,
48622483,Private room,40.70578,-74.00581,primary,371972456,Justin,,
26877222,Private room,40.81606,-73.94209,co,227070045,Sachiko,,
37424442,Private room,40.75751,-73.92058,co,191552674,Diana,,
7.73E+17,Private room,40.7475,-73.98758,primary,25138314,RoomPicks By Antony,,
9.13E+17,Private room,40.69746,-73.94329,co,108630391,Diana,,
1.04E+18,Private room,40.74923,-73.97757,primary,501999514,RoomPicks,,
48985558,Private room,40.67657,-73.94488,co,223626166,Ayano,,
45223171,Private room,40.74801,-73.89851,primary,200239515,Shogo,,
47179119,Private room,40.67569,-73.94454,co,413432955,George,,
30716128,Private room,40.73757,-73.92335,co,498467246,Aiko,,
7.27E+17,Private room,40.86641,-73.9172,primary,200239515,Shogo,,
53596672,Private room,40.69251,-73.94309,co,4888892,Darina,,
26813610,Private room,40.74409,-73.90497,primary,19303369,Hiroki,,
32326698,Hotel room,40.73723,-74.00507,primary,241889662,Incentra Village Guest House,,
28986683,Private room,40.76845,-73.9224,co,366180586,Al,,
53571143,Private room,40.74321,-73.87072,primary,19303369,Hiroki,,
9.83E+17,Private room,40.69391,-73.80688,primary,537729916,Lakhwinder,,
9.15E+17,Private room,40.809,-73.95247,co,23909763,Elena,,
7.67E+17,Private room,40.74588,-73.88757,co,227070045,Sachiko,,
7.73E+17,Private room,40.74678,-73.98625,primary,25138314,RoomPicks By Antony,,
51866988,Private room,40.75613,-73.98573,primary,417166424,Millennium Broadway,,
8.31E+17,Private room,40.69679,-73.91672,co,501567955,Ysmaris Solanye,,
7.71E+17,Private room,40.7404828,-73.8839063,co,498467246,Aiko,,
9.89E+17,Private room,40.76345746,-73.82571438,co,502685591,Usquire,,
26456925,Private room,40.74191,-73.89255,co,227070045,Sachiko,,
26690336,Private room,40.73696,-73.9205,co,521447784,Mina,,
7.09E+17,Entire home/apt,40.71949,-74.00105,primary,470859718,SoHoBlu,,
38390610,Private room,40.74827,-73.87856,co,498467246,Aiko,,
7.73E+17,Private room,40.74696,-73.98541,primary,25138314,RoomPicks By Antony,,
48718972,Private room,40.74597,-73.89823,primary,204704622,Momoyo,,
5.85E+17,Private room,40.67665,-73.96425,co,523090564,Udom,,
6.75E+17,Private room,40.63258,-74.02294,primary,47430022,Tara,,
7.45E+17,Private room,40.6967,-73.92297,primary,3223938,Eugene,,
32423962,Private room,40.744,-73.89253,primary,200239515,Shogo,,
6.94E+17,Private room,40.69162,-73.9318,primary,463464923,Manuel,,
8.91E+17,Private room,40.75973,-73.99209,co,424332243,Роман,,
45223844,Private room,40.74788,-73.89816,primary,200239515,Shogo,,
6.90E+17,Entire home/apt,40.672119,-73.9893274,primary,107434423,Blueground,,
28786900,Private room,40.65239,-73.94354,co,225124690,Danielle,,
8.98E+17,Private room,40.68969,-73.9375,primary,124028462,Outpost Club,,
1.03E+18,Private room,40.69753,-73.92241,co,13384735,Maria,,
46561750,Private room,40.7045,-74.00531,primary,371972456,Justin,,
1.01E+18,Private room,40.68474,-73.94372,primary,146345538,Kristina,,
51246356,Private room,40.68893,-73.93441,co,395520753,Manuel,,
8.48E+17,Private room,40.75190844,-73.93171988,co,310747190,Celso,,
8.42E+17,Private room,40.75290414,-73.89098545,co,130975532,Monisha,,
7.63E+17,Private room,40.725,-73.97881,primary,487803588,Alessandro,,
32364753,Private room,40.74053,-73.87617,primary,19303369,Hiroki,,
6.81E+17,Private room,40.74365,-73.87006,primary,19303369,Hiroki,,
25779464,Private room,40.81283,-73.94194,co,227070045,Sachiko,,
49142018,Private room,40.67612,-73.90662,co,395798646,Andrew,,
6.23E+17,Private room,40.65742,-73.90899,co,499270625,Shakib,,
1.00E+18,Private room,40.69183175,-73.807676,primary,537729916,Lakhwinder,,
8.28E+17,Private room,40.65745088,-73.91065611,co,499270625,Shakib,,
